                 GoT character | # | Like 'Adrack Humble'

                 GoT character | # | Like 'Hoster Tully'
                 'Donnel Hill' | 1 | 41.7% (7)
               'Maester Luwin' | 2 | 46.2% (7)
                'Master Eaton' | 3 | 41.7% (7)
                 'Brother Ray' | 4 | 33.3% (8)
                'Dickon Tarly' | 5 | 33.3% (8)
                 'Lothar Frey' | 6 | 33.3% (8)
                      'Lowell' | 7 | 33.3% (8)
               'Maester Aemon' | 8 | 38.5% (8)

                 GoT character | # | Like 'Iggo'
                        'Mago' | 1 | 50.0% (2)
                        'Akho' | 2 | 25.0% (3)
                       'Dongo' | 3 | 40.0% (3)
                        'Irri' | 4 | 25.0% (3)
                        'Kegs' | 5 | 25.0% (3)
                        'Mero' | 6 | 25.0% (3)
                      'Drogon' | 7 | 33.3% (4)
                        'Gren' | 8 |  0.0% (4)

                 GoT character | # | Like 'Irri'
                       'Barra' | 1 | 40.0% (3)
                        'Gren' | 2 | 25.0% (3)
                        'Iggo' | 3 | 25.0% (3)
                       'Karsi' | 4 | 40.0% (3)
                        'Mero' | 5 | 25.0% (3)
                        'Nora' | 6 | 25.0% (3)
                        'Akho' | 7 |  0.0% (4)
                       'Borba' | 8 | 20.0% (4)

                 GoT character | # | Like 'Jack'
                       'Jaqen' | 1 | 40.0% (3)
                        'Lady' | 2 | 25.0% (3)
                       'Locke' | 3 | 40.0% (3)
                        'Mago' | 4 | 25.0% (3)
                        'Rast' | 5 | 25.0% (3)
                        'Akho' | 6 |  0.0% (4)
                       'Barra' | 7 | 20.0% (4)
                       'Gared' | 8 | 20.0% (4)

                 GoT character | # | Like 'Jafer Flowers'
                'Water Dancer' | 1 | 46.2% (7)
                 'Walder Frey' | 2 | 38.5% (8)
               'Great Masters' | 3 | 30.8% (9)
                   'Grey Worm' | 4 | 30.8% (9)
                      'Harker' | 5 | 30.8% (9)
                 'Janos Slynt' | 6 | 30.8% (9)
                  'Jojen Reed' | 7 | 30.8% (9)
                    'Jon Snow' | 8 | 30.8% (9)

                 GoT character | # | Like 'Jaime Lannister'
            'Lancel Lannister' | 1 | 75.0% (4)
            'Martyn Lannister' | 2 | 68.8% (5)
            'Tyrion Lannister' | 3 | 68.8% (5)
            'Willem Lannister' | 4 | 68.8% (5)
          'Stafford Lannister' | 5 | 61.1% (7)
                 'Karl Tanner' | 6 | 46.7% (8)
         'Ser Kevan Lannister' | 7 | 57.9% (8)
        'Ser Lancel Lannister' | 8 | 60.0% (8)

                 GoT character | # | Like 'Janos Slynt'
            'Lord Janos Slynt' | 1 | 68.8% (5)
                    'Jon Snow' | 2 | 36.4% (7)
                 'Sansa Stark' | 3 | 36.4% (7)
                       'Tansy' | 4 | 36.4% (7)
                      'Bannen' | 5 | 27.3% (8)
                  'Bolton Son' | 6 | 27.3% (8)
                  'Bran Stark' | 7 | 27.3% (8)
                   'Emmon Cuy' | 8 | 27.3% (8)

                 GoT character | # | Like 'Jaqen'
                      'Bannen' | 1 | 50.0% (3)
                       'Gared' | 2 | 40.0% (3)
                        'Gren' | 3 | 40.0% (3)
                        'Jack' | 4 | 40.0% (3)
                      'Wallen' | 5 | 50.0% (3)
                       'Yoren' | 6 | 40.0% (3)
                       'Barra' | 7 | 20.0% (4)
                       'Biter' | 8 | 20.0% (4)

                 GoT character | # | Like 'Joffrey Baratheon'
      'King Joffrey Baratheon' | 1 | 77.3% (5)
           'Stannis Baratheon' | 2 | 58.8% (7)
        'King Renly Baratheon' | 3 | 60.0% (8)
                 'Jory Cassel' | 4 | 41.2% (10)
       'King Robert Baratheon' | 5 | 52.4% (10)
       'King Tommen Baratheon' | 6 | 52.4% (10)
      'Queen Selyse Baratheon' | 7 | 54.5% (10)
                'Roose Bolton' | 8 | 41.2% (10)

                 GoT character | # | Like 'Jojen Reed'
                  'Meera Reed' | 1 | 50.0% (5)
                    'Jon Snow' | 2 | 40.0% (6)
                   'Jon Umber' | 3 | 40.0% (6)
                     'Brienne' | 4 | 30.0% (7)
                   'Grey Wind' | 5 | 30.0% (7)
                       'Jaqen' | 6 | 30.0% (7)
                  'Tyene Sand' | 7 | 30.0% (7)
                       'Yoren' | 8 | 30.0% (7)

                 GoT character | # | Like 'Jon Snow'
                       'Dongo' | 1 | 37.5% (5)
                   'Jon Umber' | 2 | 44.4% (5)
                      'Bannen' | 3 | 25.0% (6)
                  'Bolton Son' | 4 | 40.0% (6)
                       'Bronn' | 5 | 25.0% (6)
                       'Hodor' | 6 | 25.0% (6)
                       'Jaqen' | 7 | 25.0% (6)
                  'Jojen Reed' | 8 | 40.0% (6)

                 GoT character | # | Like 'Jon Umber'
                    'Jon Snow' | 1 | 44.4% (5)
              'Lord Jon Umber' | 2 | 64.3% (5)
                    'Mortimer' | 3 | 44.4% (5)
                      'Cooper' | 4 | 33.3% (6)
                      'Dagmer' | 5 | 33.3% (6)
                  'Jojen Reed' | 6 | 40.0% (6)
                    'Polliver' | 7 | 33.3% (6)
                      'Summer' | 8 | 33.3% (6)

                 GoT character | # | Like 'Jorah Mormont'
           'Ser Jorah Mormont' | 1 | 76.5% (4)
                   'Khal Moro' | 2 | 46.2% (7)
                   'Grey Worm' | 3 | 38.5% (8)
                  'Khal Qorro' | 4 | 38.5% (8)
                 'Meryn Trant' | 5 | 38.5% (8)
                'Roose Bolton' | 6 | 38.5% (8)
                      'Drogon' | 7 | 30.8% (9)
                 'Janos Slynt' | 8 | 30.8% (9)

                 GoT character | # | Like 'Jory Cassel'
                     'Craster' | 1 | 36.4% (7)
                   'Jon Umber' | 2 | 36.4% (7)
                 'Karl Tanner' | 3 | 36.4% (7)
                  'Lady Crane' | 4 | 36.4% (7)
                  'Amory Loch' | 5 | 27.3% (8)
                       'Borba' | 6 | 27.3% (8)
                      'Cersei' | 7 | 27.3% (8)
                      'Doreah' | 8 | 27.3% (8)

                 GoT character | # | Like 'Karl Tanner'
                'Water Dancer' | 1 | 50.0% (6)
                      'Bannen' | 2 | 36.4% (7)
                     'Brienne' | 3 | 36.4% (7)
                     'Craster' | 4 | 36.4% (7)
                      'Harker' | 5 | 36.4% (7)
                 'Jory Cassel' | 6 | 36.4% (7)
                    'Kurleket' | 7 | 36.4% (7)
                  'Lady Crane' | 8 | 36.4% (7)

                 GoT character | # | Like 'Karsi'
                       'Barra' | 1 | 40.0% (3)
                      'Cersei' | 2 | 50.0% (3)
                       'Gared' | 3 | 40.0% (3)
                        'Irri' | 4 | 40.0% (3)
                        'Kegs' | 5 | 40.0% (3)
                        'Rast' | 6 | 40.0% (3)
                       'Tansy' | 7 | 40.0% (3)
                       'Varly' | 8 | 40.0% (3)

                 GoT character | # | Like 'Kegs'
                        'Iggo' | 1 | 25.0% (3)
                       'Karsi' | 2 | 40.0% (3)
                        'Leaf' | 3 | 25.0% (3)
                         'Lem' | 4 | 25.0% (3)
                        'Mago' | 5 | 25.0% (3)
                        'Mero' | 6 | 25.0% (3)
                         'Ros' | 7 | 25.0% (3)
                        'Akho' | 8 |  0.0% (4)

                 GoT character | # | Like 'Khal Brozho'
                  'Khal Drogo' | 1 | 72.7% (3)
                 'Khal Forzho' | 2 | 72.7% (3)
                   'Khal Moro' | 3 | 63.6% (4)
                  'Khal Qorro' | 4 | 63.6% (4)
                 'Khal Rhalko' | 5 | 54.5% (5)
                       'Bronn' | 6 | 27.3% (8)
                 'Karl Tanner' | 7 | 27.3% (8)
                       'Karsi' | 8 | 27.3% (8)

                 GoT character | # | Like 'Khal Drogo'
                 'Khal Brozho' | 1 | 72.7% (3)
                   'Khal Moro' | 2 | 70.0% (3)
                 'Khal Forzho' | 3 | 63.6% (4)
                  'Khal Qorro' | 4 | 60.0% (4)
                 'Khal Rhalko' | 5 | 54.5% (5)
                      'Drogon' | 6 | 40.0% (6)
                      'Rhaego' | 7 | 40.0% (6)
                   'Shaggydog' | 8 | 40.0% (6)

                 GoT character | # | Like 'Khal Forzho'
                 'Khal Brozho' | 1 | 72.7% (3)
                   'Khal Moro' | 2 | 72.7% (3)
                  'Khal Qorro' | 3 | 72.7% (3)
                  'Khal Drogo' | 4 | 63.6% (4)
                 'Khal Rhalko' | 5 | 54.5% (5)
                  'Areo Hotah' | 6 | 27.3% (8)
                   'Grey Worm' | 7 | 27.3% (8)
                 'Karl Tanner' | 8 | 27.3% (8)

                 GoT character | # | Like 'Khal Moro'
                  'Khal Qorro' | 1 | 80.0% (2)
                  'Khal Drogo' | 2 | 70.0% (3)
                 'Khal Forzho' | 3 | 72.7% (3)
                 'Khal Brozho' | 4 | 63.6% (4)
                 'Khal Rhalko' | 5 | 54.5% (5)
                   'Grey Worm' | 6 | 33.3% (6)
                        'Mero' | 7 | 33.3% (6)
                       'Qhono' | 8 | 33.3% (6)

                 GoT character | # | Like 'Khal Qorro'
                   'Khal Moro' | 1 | 80.0% (2)
                 'Khal Forzho' | 2 | 72.7% (3)
                 'Khal Brozho' | 3 | 63.6% (4)
                  'Khal Drogo' | 4 | 60.0% (4)
                 'Khal Rhalko' | 5 | 54.5% (5)
                       'Barra' | 6 | 30.0% (7)
                  'Bran Stark' | 7 | 30.0% (7)
                   'Grey Worm' | 8 | 30.0% (7)

                 GoT character | # | Like 'Khal Rhalko'
                 'Khal Brozho' | 1 | 54.5% (5)
                  'Khal Drogo' | 2 | 54.5% (5)
                 'Khal Forzho' | 3 | 54.5% (5)
                   'Khal Moro' | 4 | 54.5% (5)
                  'Khal Qorro' | 5 | 54.5% (5)
                  'Bran Stark' | 6 | 36.4% (7)
                     'Rakharo' | 7 | 36.4% (7)
                     'Rhaegal' | 8 | 36.4% (7)

                 GoT character | # | Like 'King Aerys Targaryen'
          'Daenerys Targaryen' | 1 | 70.0% (6)
    'Prince Viserys Targaryen' | 2 | 70.8% (7)
        'King Renly Baratheon' | 3 | 55.0% (9)
    'Queen Daenerys Targaryen' | 4 | 62.5% (9)
       'King Robert Baratheon' | 5 | 52.4% (10)
      'King Joffrey Baratheon' | 6 | 50.0% (11)
      'King Stannis Baratheon' | 7 | 50.0% (11)
       'King Tommen Baratheon' | 8 | 47.6% (11)

                 GoT character | # | Like 'King Balon Greyjoy'
          'Lord Theon Greyjoy' | 1 | 61.1% (7)
               'Euron Greyjoy' | 2 | 55.6% (8)
               'Theon Greyjoy' | 3 | 55.6% (8)
           'King Mance Rayder' | 4 | 44.4% (10)
             'Ser Balon Swann' | 5 | 38.9% (11)
                 'Khal Brozho' | 6 | 33.3% (12)
                  'Khal Drogo' | 7 | 33.3% (12)
        'King Renly Baratheon' | 8 | 40.0% (12)

                 GoT character | # | Like 'King Joffrey Baratheon'
           'Joffrey Baratheon' | 1 | 77.3% (5)
       'King Robert Baratheon' | 2 | 77.3% (5)
       'King Tommen Baratheon' | 3 | 77.3% (5)
        'King Renly Baratheon' | 4 | 72.7% (6)
      'King Stannis Baratheon' | 5 | 68.2% (7)
        'King Aerys Targaryen' | 6 | 50.0% (11)
      'Queen Selyse Baratheon' | 7 | 50.0% (11)
  'Princess Shireen Baratheon' | 8 | 53.8% (12)

                 GoT character | # | Like 'King Mance Rayder'
          'King Balon Greyjoy' | 1 | 44.4% (10)
            'Lord Mace Tyrell' | 2 | 41.2% (10)
                   'Dying Man' | 3 | 35.3% (11)
                 'Karl Tanner' | 4 | 35.3% (11)
        'King Renly Baratheon' | 5 | 45.0% (11)
             'King Robb Stark' | 6 | 35.3% (11)
           'Black Jack Bulwer' | 7 | 29.4% (12)
             'Jaime Lannister' | 8 | 29.4% (12)

                 GoT character | # | Like 'King Renly Baratheon'
       'King Robert Baratheon' | 1 | 76.2% (5)
      'King Joffrey Baratheon' | 2 | 72.7% (6)
      'King Stannis Baratheon' | 3 | 72.7% (6)
       'King Tommen Baratheon' | 4 | 71.4% (6)
           'Joffrey Baratheon' | 5 | 60.0% (8)
        'King Aerys Targaryen' | 6 | 55.0% (9)
      'Queen Selyse Baratheon' | 7 | 59.1% (9)
           'Stannis Baratheon' | 8 | 55.0% (9)

                 GoT character | # | Like 'King Robb Stark'
                  'Robb Stark' | 1 | 66.7% (5)
                   'Rob Stark' | 2 | 60.0% (6)
                'Benjen Stark' | 3 | 46.7% (8)
                 'Sansa Stark' | 4 | 46.7% (8)
                  'Arya Stark' | 5 | 40.0% (9)
                  'Bran Stark' | 6 | 40.0% (9)
               'Catelyn Stark' | 7 | 40.0% (9)
                   'Ned Stark' | 8 | 40.0% (9)

                 GoT character | # | Like 'King Robert Baratheon'
      'King Joffrey Baratheon' | 1 | 77.3% (5)
        'King Renly Baratheon' | 2 | 76.2% (5)
       'King Tommen Baratheon' | 3 | 76.2% (5)
      'King Stannis Baratheon' | 4 | 68.2% (7)
           'Joffrey Baratheon' | 5 | 52.4% (10)
        'King Aerys Targaryen' | 6 | 52.4% (10)
             'King Robb Stark' | 7 | 47.6% (11)
      'Queen Selyse Baratheon' | 8 | 50.0% (11)

                 GoT character | # | Like 'King Stannis Baratheon'
           'Stannis Baratheon' | 1 | 77.3% (5)
        'King Renly Baratheon' | 2 | 72.7% (6)
      'King Joffrey Baratheon' | 3 | 68.2% (7)
       'King Robert Baratheon' | 4 | 68.2% (7)
       'King Tommen Baratheon' | 5 | 68.2% (7)
        'King Aerys Targaryen' | 6 | 50.0% (11)
      'Queen Selyse Baratheon' | 7 | 50.0% (11)
           'Joffrey Baratheon' | 8 | 45.5% (12)

                 GoT character | # | Like 'King Tommen Baratheon'
      'King Joffrey Baratheon' | 1 | 77.3% (5)
       'King Robert Baratheon' | 2 | 76.2% (5)
        'King Renly Baratheon' | 3 | 71.4% (6)
      'King Stannis Baratheon' | 4 | 68.2% (7)
           'Joffrey Baratheon' | 5 | 52.4% (10)
        'King Aerys Targaryen' | 6 | 47.6% (11)
  'Princess Shireen Baratheon' | 7 | 57.7% (11)
      'Queen Selyse Baratheon' | 8 | 50.0% (11)

                 GoT character | # | Like 'Kraznys mo Nakloz'
               'Oznak zo Pahl' | 1 | 41.2% (10)
              'Razdal mo Eraz' | 2 | 41.2% (10)
          'Greizhen mo Ullhor' | 3 | 38.9% (11)
                  'Bran Stark' | 4 | 29.4% (12)
                 'Khal Forzho' | 5 | 29.4% (12)
                   'Khal Moro' | 6 | 29.4% (12)
                  'Khal Qorro' | 7 | 29.4% (12)
                 'Khal Rhalko' | 8 | 29.4% (12)

                 GoT character | # | Like 'Kurleket'
                      'Harker' | 1 | 37.5% (5)
                     'Brienne' | 2 | 25.0% (6)
                      'Cersei' | 3 | 25.0% (6)
                     'Craster' | 4 | 25.0% (6)
                      'Doreah' | 5 | 25.0% (6)
                       'Gared' | 6 | 25.0% (6)
                        'Gren' | 7 | 25.0% (6)
                       'Grenn' | 8 | 25.0% (6)

                 GoT character | # | Like 'Lady'
                       'Gordy' | 1 | 40.0% (3)
                        'Jack' | 2 | 25.0% (3)
                        'Leaf' | 3 | 25.0% (3)
                         'Lem' | 4 | 25.0% (3)
                        'Mago' | 5 | 25.0% (3)
                        'Olly' | 6 | 25.0% (3)
                        'Rast' | 7 | 25.0% (3)
                       'Sally' | 8 | 40.0% (3)

                 GoT character | # | Like 'Lady Alys Karstark'
           'Lady Lyanna Stark' | 1 | 61.1% (7)
          'Lady Catelyn Stark' | 2 | 50.0% (9)
            'Rickard Karstark' | 3 | 50.0% (9)
               'Catelyn Stark' | 4 | 44.4% (10)
             'Lady Lysa Arryn' | 5 | 44.4% (10)
             'Lady Melisandre' | 6 | 44.4% (10)
       'Lord Rickard Karstark' | 7 | 52.4% (10)
           'Ser Arys Oakheart' | 8 | 44.4% (10)

                 GoT character | # | Like 'Lady Catelyn Stark'
               'Catelyn Stark' | 1 | 72.2% (5)
           'Lady Lyanna Stark' | 2 | 61.1% (7)
          'Lady Alys Karstark' | 3 | 50.0% (9)
                  'Arya Stark' | 4 | 44.4% (10)
                'Benjen Stark' | 5 | 44.4% (10)
                  'Bran Stark' | 6 | 44.4% (10)
                 'Lady Cerwyn' | 7 | 44.4% (10)
             'Lady Melisandre' | 8 | 44.4% (10)

                 GoT character | # | Like 'Lady Cerwyn'
                  'Lady Crane' | 1 | 63.6% (4)
                        'Lady' | 2 | 36.4% (7)
             'Lady Lysa Arryn' | 3 | 53.3% (7)
                      'Bannen' | 4 | 27.3% (8)
                      'Cersei' | 5 | 27.3% (8)
                      'Dagmer' | 6 | 27.3% (8)
                   'Grey Worm' | 7 | 27.3% (8)
                      'Harker' | 8 | 27.3% (8)

                 GoT character | # | Like 'Lady Crane'
                 'Lady Cerwyn' | 1 | 63.6% (4)
                        'Lady' | 2 | 40.0% (6)
                 'Meryn Trant' | 3 | 45.5% (6)
                     'Old Man' | 4 | 40.0% (6)
                       'Barra' | 5 | 30.0% (7)
                   'Grey Wind' | 6 | 30.0% (7)
                 'Jory Cassel' | 7 | 36.4% (7)
                 'Karl Tanner' | 8 | 36.4% (7)

                 GoT character | # | Like 'Lady Joyeuse Erenford'
          'Lady Alys Karstark' | 1 | 42.9% (12)
             'Lady Lysa Arryn' | 2 | 42.9% (12)
          'Lady Catelyn Stark' | 3 | 38.1% (13)
         'Lady Lyanna Mormont' | 4 | 38.1% (13)
           'Lady Lyanna Stark' | 5 | 38.1% (13)
             'Lady Melisandre' | 6 | 38.1% (13)
          'Lady Olenna Tyrell' | 7 | 38.1% (13)
                 'Lady Cerwyn' | 8 | 33.3% (14)

                 GoT character | # | Like 'Lady Lyanna Mormont'
           'Lady Lyanna Stark' | 1 | 63.2% (7)
             'Lady Lysa Arryn' | 2 | 57.9% (8)
           'Lady Walda Bolton' | 3 | 57.9% (8)
          'Lady Olenna Tyrell' | 4 | 52.6% (9)
               'Jorah Mormont' | 5 | 47.4% (10)
           'Ser Jorah Mormont' | 6 | 47.4% (10)
                 'Lady Cerwyn' | 7 | 36.8% (12)
                  'Lady Crane' | 8 | 36.8% (12)

                 GoT character | # | Like 'Lady Lyanna Stark'
          'Lady Alys Karstark' | 1 | 61.1% (7)
          'Lady Catelyn Stark' | 2 | 61.1% (7)
         'Lady Lyanna Mormont' | 3 | 63.2% (7)
               'Catelyn Stark' | 4 | 52.9% (8)
             'Lady Lysa Arryn' | 5 | 52.9% (8)
                 'Sansa Stark' | 6 | 52.9% (8)
                  'Arya Stark' | 7 | 47.1% (9)
                  'Bran Stark' | 8 | 47.1% (9)

                 GoT character | # | Like 'Lady Lysa Arryn'
                 'Lady Cerwyn' | 1 | 53.3% (7)
              'Lord Jon Arryn' | 2 | 53.3% (7)
         'Lady Lyanna Mormont' | 3 | 57.9% (8)
           'Lady Lyanna Stark' | 4 | 52.9% (8)
                  'Lady Crane' | 5 | 40.0% (9)
             'Lady Melisandre' | 6 | 40.0% (9)
           'Lady Walda Bolton' | 7 | 47.1% (9)
          'Lady Alys Karstark' | 8 | 44.4% (10)

                 GoT character | # | Like 'Lady Melisandre'
                  'Melisandre' | 1 | 66.7% (5)
                  'Lady Crane' | 2 | 53.3% (7)
                 'Lady Cerwyn' | 3 | 46.7% (8)
             'Lady Lysa Arryn' | 4 | 40.0% (9)
                   'Grey Wind' | 5 | 33.3% (10)
          'Lady Alys Karstark' | 6 | 44.4% (10)
          'Lady Catelyn Stark' | 7 | 44.4% (10)
           'Lady Lyanna Stark' | 8 | 41.2% (10)

                 GoT character | # | Like 'Lady Olenna Tyrell'
               'Olenna Tyrell' | 1 | 72.2% (5)
         'Lady Lyanna Mormont' | 2 | 52.6% (9)
           'Lady Lyanna Stark' | 3 | 50.0% (9)
            'Lord Mace Tyrell' | 4 | 50.0% (9)
             'Lady Lysa Arryn' | 5 | 44.4% (10)
             'Lady Melisandre' | 6 | 44.4% (10)
            'Ser Loras Tyrell' | 7 | 44.4% (10)
                 'Lady Cerwyn' | 8 | 38.9% (11)

                 GoT character | # | Like 'Lady Walda Bolton'
          'Lord Ramsay Bolton' | 1 | 61.1% (7)
         'Lady Lyanna Mormont' | 2 | 57.9% (8)
           'Lord Roose Bolton' | 3 | 52.9% (8)
               'Ramsay Bolton' | 4 | 52.9% (8)
             'Lady Lysa Arryn' | 5 | 47.1% (9)
           'Lady Lyanna Stark' | 6 | 41.2% (10)
                'Roose Bolton' | 7 | 41.2% (10)
          'Lady Alys Karstark' | 8 | 38.9% (11)

                 GoT character | # | Like 'Lancel Lannister'
             'Jaime Lannister' | 1 | 75.0% (4)
        'Ser Lancel Lannister' | 2 | 80.0% (4)
            'Martyn Lannister' | 3 | 68.8% (5)
            'Willem Lannister' | 4 | 68.8% (5)
            'Tyrion Lannister' | 5 | 62.5% (6)
          'Stafford Lannister' | 6 | 61.1% (7)
                 'Karl Tanner' | 7 | 50.0% (8)
         'Ser Alton Lannister' | 8 | 57.9% (8)

                 GoT character | # | Like 'Lannister Guard'
          'Lannister Soldiers' | 1 | 61.1% (7)
               'Maester Luwin' | 2 | 46.7% (8)
                'Hoster Tully' | 3 | 40.0% (9)
               'Maester Aemon' | 4 | 40.0% (9)
                'Master Eaton' | 5 | 40.0% (9)
                 'Sansa Stark' | 6 | 40.0% (9)
              'Alliser Thorne' | 7 | 33.3% (10)
                'Benjen Stark' | 8 | 33.3% (10)

                 GoT character | # | Like 'Lannister Soldiers'
             'Lannister Guard' | 1 | 61.1% (7)
             'Bolton Soldiers' | 2 | 55.6% (8)
              'Stark Soldiers' | 3 | 55.6% (8)
               'Jafer Flowers' | 4 | 44.4% (10)
             'Master Torturer' | 5 | 44.4% (10)
               'White Walkers' | 6 | 44.4% (10)
            'Maester Caleotte' | 7 | 38.9% (11)
               'Maester Luwin' | 8 | 38.9% (11)

                 GoT character | # | Like 'Leaf'
                         'Lem' | 1 | 50.0% (2)
                        'Kegs' | 2 | 25.0% (3)
                        'Lady' | 3 | 25.0% (3)
                        'Mero' | 4 | 25.0% (3)
                        'Shae' | 5 | 25.0% (3)
                        'Akho' | 6 |  0.0% (4)
                      'Doreah' | 7 | 33.3% (4)
                        'Gren' | 8 |  0.0% (4)

                 GoT character | # | Like 'Lem'
                        'Leaf' | 1 | 50.0% (2)
                         'Tom' | 2 | 33.3% (2)
                        'Gren' | 3 | 25.0% (3)
                        'Kegs' | 4 | 25.0% (3)
                        'Lady' | 5 | 25.0% (3)
                        'Mero' | 6 | 25.0% (3)
                         'Ros' | 7 |  0.0% (3)
                         'Wyl' | 8 |  0.0% (3)

                 GoT character | # | Like 'Lem Lemoncloak'
                'Benjen Stark' | 1 | 28.6% (10)
                   'Emmon Cuy' | 2 | 28.6% (10)
                  'Goldcloaks' | 3 | 28.6% (10)
                'Septa Unella' | 4 | 28.6% (10)
             'Ser Balon Swann' | 5 | 33.3% (10)
             'Ser Meryn Trant' | 6 | 33.3% (10)
                  'Areo Hotah' | 7 | 21.4% (11)
                  'Bolton Son' | 8 | 21.4% (11)

                 GoT character | # | Like 'Loboda'
                       'Borba' | 1 | 33.3% (4)
                       'Gordy' | 2 | 33.3% (4)
                       'Hodor' | 3 | 33.3% (4)
                        'Lady' | 4 | 33.3% (4)
                       'Locke' | 5 | 33.3% (4)
                      'Lorren' | 6 | 33.3% (4)
                      'Lowell' | 7 | 33.3% (4)
                        'Nora' | 8 | 33.3% (4)

                 GoT character | # | Like 'Locke'
                        'Jack' | 1 | 40.0% (3)
                      'Lorren' | 2 | 50.0% (3)
                       'Rorge' | 3 | 40.0% (3)
                       'Borba' | 4 | 20.0% (4)
                      'Cooper' | 5 | 33.3% (4)
                       'Dongo' | 6 | 20.0% (4)
                       'Gordy' | 7 | 20.0% (4)
                      'Harker' | 8 | 33.3% (4)

                 GoT character | # | Like 'Lommy Greenhands'
                  'Lady Crane' | 1 | 37.5% (10)
             'Lady Melisandre' | 2 | 37.5% (10)
                     'Drennan' | 3 | 31.2% (11)
                       'Grenn' | 4 | 31.2% (11)
                   'Grey Wind' | 5 | 31.2% (11)
            'Harry Strickland' | 6 | 31.2% (11)
                  'Jojen Reed' | 7 | 31.2% (11)
                 'Lady Cerwyn' | 8 | 31.2% (11)

                 GoT character | # | Like 'Lord Beric Dondarrion'
              'Lord Jon Arryn' | 1 | 47.6% (11)
           'Lord Roose Bolton' | 2 | 42.9% (12)
         'Lord Greatjon Umber' | 3 | 38.1% (13)
          'Lord Medgar Cerwyn' | 4 | 38.1% (13)
              'Lord Ned Umber' | 5 | 38.1% (13)
          'Lord Ramsay Bolton' | 6 | 38.1% (13)
          'Lord Theon Greyjoy' | 7 | 38.1% (13)
        'Lord Tywin Lannister' | 8 | 38.1% (13)

                 GoT character | # | Like 'Lord Commander Jeor Mormont'
     'Lord Commander Jon Snow' | 1 | 70.4% (8)
         'Lady Lyanna Mormont' | 2 | 44.4% (15)
           'Ser Jorah Mormont' | 3 | 44.4% (15)
               'Jorah Mormont' | 4 | 40.7% (16)
            'Lord Janos Slynt' | 5 | 40.7% (16)
              'Lord Jon Arryn' | 6 | 40.7% (16)
          'Lord Medgar Cerwyn' | 7 | 40.7% (16)
          'Lord Ramsay Bolton' | 8 | 40.7% (16)

                 GoT character | # | Like 'Lord Commander Jon Snow'
 'Lord Commander Jeor Mormont' | 1 | 70.4% (8)
          'Lord Ramsay Bolton' | 2 | 43.5% (13)
           'Lord Roose Bolton' | 3 | 43.5% (13)
            'Lord Walder Frey' | 4 | 43.5% (13)
       'Lord Eddard Ned Stark' | 5 | 39.1% (14)
            'Lord Janos Slynt' | 6 | 39.1% (14)
              'Lord Jon Arryn' | 7 | 39.1% (14)
          'Lord Medgar Cerwyn' | 8 | 39.1% (14)

                 GoT character | # | Like 'Lord Eddard Ned Stark'
       'Lord Rickard Karstark' | 1 | 57.1% (9)
          'Lady Catelyn Stark' | 2 | 42.9% (12)
           'Lady Lyanna Stark' | 3 | 42.9% (12)
          'Lord Medgar Cerwyn' | 4 | 42.9% (12)
              'Lord Ned Umber' | 5 | 42.9% (12)
            'Lord Walder Frey' | 6 | 42.9% (12)
                   'Ned Stark' | 7 | 42.9% (12)
                  'Arya Stark' | 8 | 38.1% (13)

                 GoT character | # | Like 'Lord Greatjon Umber'
              'Lord Jon Umber' | 1 | 68.4% (6)
              'Lord Ned Umber' | 2 | 63.2% (7)
                   'Jon Umber' | 3 | 42.1% (11)
            'Lord Janos Slynt' | 4 | 42.1% (11)
              'Lord Jon Arryn' | 5 | 42.1% (11)
            'Lord Walder Frey' | 6 | 42.1% (11)
               'Lord of Bones' | 7 | 42.1% (11)
            'Lord Mace Tyrell' | 8 | 36.8% (12)

                 GoT character | # | Like 'Lord Janos Slynt'
                 'Janos Slynt' | 1 | 68.8% (5)
              'Lord Jon Arryn' | 2 | 56.2% (7)
              'Lord Jon Umber' | 3 | 50.0% (8)
           'Lord Roose Bolton' | 4 | 47.1% (9)
               'Lord of Bones' | 5 | 43.8% (9)
             'Ser Balon Swann' | 6 | 43.8% (9)
            'Ser Boros Blount' | 7 | 43.8% (9)
                 'Jory Cassel' | 8 | 37.5% (10)

                 GoT character | # | Like 'Lord Jon Arryn'
              'Lord Jon Umber' | 1 | 64.3% (5)
             'Lady Lysa Arryn' | 2 | 53.3% (7)
            'Lord Janos Slynt' | 3 | 56.2% (7)
               'Lord of Bones' | 4 | 50.0% (7)
              'Lord Ned Umber' | 5 | 42.9% (8)
          'Lord Theon Greyjoy' | 6 | 55.6% (8)
                  'Bolton Son' | 7 | 35.7% (9)
                 'Lady Cerwyn' | 8 | 35.7% (9)

                 GoT character | # | Like 'Lord Jon Umber'
              'Lord Ned Umber' | 1 | 78.6% (3)
                   'Jon Umber' | 2 | 64.3% (5)
              'Lord Jon Arryn' | 3 | 64.3% (5)
         'Lord Greatjon Umber' | 4 | 68.4% (6)
               'Lord of Bones' | 5 | 57.1% (6)
            'Lord Janos Slynt' | 6 | 50.0% (8)
                 'Karl Tanner' | 7 | 35.7% (9)
