city	zip	longitude	latitude	views
Ptujska Gora	2323	15.76	46.355	115
Lovrenc na Dravskem polju	2324	15.782	46.373	7
Kidričevo	2325	15.795	46.405	641
Cirkovce	2326	15.728	46.395	6
Rače	2327	15.678	46.454	50300
Pragersko	2331	15.659	46.395	136
Limbuš	2341	15.582	46.555	49
Ruše	2342	15.507	46.54	162
Fala	2343	15.452	46.547	6
Lovrenc na Pohorju	2344	15.388	46.54	191
Bistrica ob Dravi	2345	15.551	46.554	10
Kamnica	2351	15.613	46.573	5
Selnica ob Dravi	2352	15.487	46.579	197
Sveti Duh na Ostrem Vrhu	2353	15.461	46.615	1
Bresternica	2354	15.579	46.568	44
Radlje ob Dravi	2360	15.226	46.614	1860
Ožbalt	2361	15.392	46.584	3
Kapla	2362	15.008	46.248	8
Podvelka	2363	15.389	46.622	7
Ribnica na Pohorju	2364	15.267	46.536	9
Vuhred	2365	15.236	46.595	1
Muta	2366	15.163	46.61	17900
Vuzenica	2367	15.155	46.565	9
Dravograd	2370	15.025	46.589	855
Trbonje	2371	15.105	46.602	1
Libeliče	2372	14.948	46.62	1
Šentjanž pri Dravogradu	2373	15.037	46.563	9
Slovenj Gradec	2380	15.077	46.508	2020
Podgorje pri Slovenj Gradcu	2381	15.046	46.462	6
Mislinja	2382	15.199	46.444	10
Šmartno pri Slovenj Gradcu	2383	15.106	46.493	753
Ravne na Koroškem	2390	14.966	46.545	494
Prevalje	2391	14.92	46.547	119
Mežica	2392	14.852	46.521	390
Črna na Koroškem	2393	14.85	46.47	683
Kotlje	2394	14.986	46.52	32
Celje	3000	15.268	46.24	6710
Celje – P.P.	3001	15.268	46.24	3
Šmartno v Rožni dolini	3201	15.238	46.291	87
Ljubečna	3202	15.32	46.264	8
Nova Cerkev	3203	15.285	46.313	10
Vitanje	3205	15.295	46.382	6
Stranice	3206	15.366	46.364	1910
Slovenske Konjice	3210	15.421	46.337	1630
Škofja vas	3211	15.29	46.269	865
Vojnik	3212	15.302	46.292	686
Frankolovo	3213	15.316	46.327	2
Zreče	3214	15.392	46.37	557
Loče	3215	15.497	46.302	113
Štore	3220	15.313	46.222	393000
Teharje	3221	15.302	46.229	161
Dramlje	3222	15.393	46.271	28
Loka pri Žusmu	3223	15.515	46.158	3
Dobje pri Planini	3224	15.394	46.137	1
Planina pri Sevnici	3225	15.405	46.104	6
Šentjur	3230	15.395	46.216	662
Grobelno	3231	15.447	46.215	7
Ponikva	3232	15.444	46.254	104
Kalobje	3233	15.393	46.169	0
Šmarje pri Jelšah	3240	15.587	46.201	875
Podplat	3241	15.575	46.245	60
Rogaška Slatina	3250	15.638	46.233	1230
Rogatec	3252	15.7	46.226	1670
Pristava pri Mestinju	3253	15.596	46.196	5
Podčetrtek	3254	15.601	46.174	671
Buče	3255	15.58	46.105	3
Bistrica ob Sotli	3256	15.663	46.057	6
Podsreda	3257	15.59	46.04	168
Kozje	3260	15.536	46.089	4
Lesično	3261	15.519	46.102	1
Prevorje	3262	15.483	46.123	0
Gorica pri Slivnici	3263	15.431	46.187	117
Sveti Štefan	3264	15.494	46.185	3870
Laško	3270	15.236	46.154	771
Šentrupert	3271	15.091	45.977	233
Rimske Toplice	3272	15.195	46.124	109
Jurklošter	3273	15.344	46.094	0
Petrovče	3301	15.189	46.244	47
Griže	3302	15.154	46.23	8
Gomilsko	3303	15.043	46.253	7
Tabor	3304	15.017	46.235	2920
Vransko	3305	14.951	46.244	141
Žalec	3310	15.165	46.252	960
Šempeter v Savinjski dolini	3311	15.118	46.256	121
Prebold	3312	15.092	46.237	142
Polzela	3313	15.074	46.281	249
Braslovče	3314	15.04	46.288	51
Velenje	3320	15.111	46.362	5230
Velenje – P.P.	3322	15.111	46.362	2
Šoštanj	3325	15.046	46.378	600
Topolšica	3326	15.019	46.403	325
Šmartno ob Paki	3327	15.028	46.342	10
Mozirje	3330	14.795	46.368	444
Nazarje	3331	14.923	46.282	869
Rečica ob Savinji	3332	14.922	46.324	4
Ljubno ob Savinji	3333	14.834	46.344	10
Luče	3334	14.44	46.21	28600
Solčava	3335	14.692	46.42	463
Šmartno ob Dreti	3341	14.889	46.284	4
Gornji Grad	3342	14.806	46.296	1730
Kranj	4000	14.356	46.243	9510
Kranj – P.P.	4001	14.356	46.243	3
Zgornja Besnica	4201	14.276	46.264	6
Naklo	4202	14.316	46.272	471
Duplje	4203	13.95	45.864	2
Golnik	4204	14.333	46.327	4
Preddvor	4205	14.422	46.302	516
Zgornje Jezersko	4206	14.498	46.394	10
Cerklje na Gorenjskem	4207	14.487	46.253	787
Šenčur	4208	14.419	46.243	702
Žabnica	4209	14.331	46.196	39
Brnik – Aerodrom	4210	14.456	46.226	6
Mavčiče	4211	14.406	46.185	39
Visoko	4212	14.576	45.885	2970
Škofja Loka	4220	14.306	46.167	2370
Poljane nad Škofjo Loko	4223	14.186	46.121	10
Gorenja vas	4224	14.144	46.106	1190
Sovodenj	4225	14.038	46.085	1
Žiri	4226	14.112	46.051	767
Selca	4227	14.203	46.224	368
Železniki	4228	14.169	46.225	1480
Sorica	4229	14.046	46.219	122
Radovljica	4240	14.174	46.344	1170
Brezje	4243	14.233	46.329	1390
Podnart	4244	14.255	46.296	6
Kropa	4245	14.204	46.291	109
Kamna Gorica	4246	14.194	46.316	5
Zgornje Gorje	4247	14.068	46.379	124
Lesce	4248	14.159	46.361	264
Bled	4260	14.115	46.368	15900
Bohinjska Bela	4263	14.06	46.341	250
Bohinjska Bistrica	4264	13.956	46.272	261
Bohinjsko jezero	4265	13.859	46.284	362
Srednja vas v Bohinju	4267	13.926	46.297	188
Jesenice	4270	14.053	46.437	1410
Blejska Dobrava	4273	14.099	46.408	10
Žirovnica	4274	14.154	46.395	194
Begunje na Gorenjskem	4275	14.202	46.377	181
Hrušica	4276	14.02	46.448	353
Kranjska Gora	4280	13.786	46.485	2260
Mojstrana	4281	13.94	46.461	228
Gozd Martuljek	4282	13.845	46.485	123
Rateče – Planica	4283	13.723	46.475	138
Tržič	4290	14.301	46.359	964
Križe	4294	14.3	46.34	685
Nova Gorica	5000	13.649	45.955	4890
Nova Gorica – P.P.	5001	13.649	45.955	8490
Deskle	5210	13.614	46.053	659
Kojsko	5211	13.575	46.006	86
Dobrovo v Brdih	5212	13.52	45.992	171
Kanal	5213	13.634	46.085	4300
Kal nad Kanalom	5214	13.742	46.083	2
Ročinj	5215	13.671	46.109	2
Most na Soči	5216	13.743	46.152	802
Tolmin	5220	13.732	46.186	2190
Kobarid	5222	13.579	46.246	978
Breginj	5223	13.426	46.263	85
Srpenica	5224	13.499	46.291	65
Bovec	5230	13.552	46.338	1980
Log pod Mangartom	5231	13.599	46.403	95
Soča	5232	13.596	46.051	3580
Grahovo ob Bači	5242	13.866	46.157	8
Podbrdo	5243	13.974	46.215	8
Solkan	5250	13.646	45.968	317
Grgar	5251	13.675	46.0	3
Trnovo pri Gorici	5252	13.781	45.999	8
Čepovan	5253	13.792	46.048	1
Šempas	5261	13.744	45.928	10
